"dotted_numeric","dotted_alphanumeric","nid","author","dtCreated"
"1","","","",""
"1.3.2.4.4.1.2","3b4d1b","044","BKN","Wed 17 May 2006 07:39:22 GMT+00:00"
"1.3.2.4.5","3b4e","045","BKN","Thu 11 May 2006 00:02:41 GMT+00:00"
"1.3.2.4.5.1","3b4e1","0108","BKN","Thu 11 May 2006 00:02:23 GMT+00:00"
"1.3.2.4.5.1.1","3b4e1a","046","BKN","Thu 11 May 2006 00:10:16 GMT+00:00"
"1.3.2.4.5.1.2","3b4e1b","0273","BKN","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.4.6","3b4f","047","BKN","Thu 11 May 2006 00:02:53 GMT+00:00"
"1.3.2.4.6.1","3b4f1","0109","BKN","Thu 11 May 2006 00:02:23 GMT+00:00"
"1.3.2.4.6.1.1","3b4f1a","048","BKN","Wed 17 May 2006 07:39:22 GMT+00:00"
"1.3.2.4.6.1.2","3b4f1b","0688","BKN","Mon 15 May 2006 06:42:28 GMT+00:00"
"1.3.2.4.6.1.3","3b4f1c","0280","BKN","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.4.6.1.4","3b4f1d","0914","BKN","Thu 7 Dec 2006 01:53:48 GMT+00:00"
